Tweet,Message,Match,Polarity
1,RT More brought to us by Palmater Reconciliation childwelfare indigenous CHRT,null,neutral
2,RT peryer Yale and Harvard students have taken to the field to protest university holdings in fossil fuel companies and Puerto Ric,null,neutral
3,Want sims discover university so bad,bad,negative
4,RT Students at Grand Valley State University in Michigan voted last week to stop reciting the Pledge of Allegiance at student,null,neutral
5,The only test they re interested in is this is your money in fact Green Green dipl,null,neutral
6,are represented by the University of Calgary Love seeing your skills,null,neutral
7,RT Blessed to receive an offer from Charleston Southern University Coach Toomer Huggins80,null,neutral
8,RT Tv3 news clip on the conferment of Her Majesty Seri Paduka Baginda The Raja Permaisuri Agong,null,neutral
9,the high rise aparteme,null,neutral
10,RT Canada votes against Israel for the first time in 14 years and our Ambassador boasts that Canada has regained its voice No,null,neutral
11,Canada s medicine is still cheaper than the US and besides medicine costing money has nothing to,null,neutral
12,RT Geekhome Canada shed 22 600 jobs in October according to ADP report via,null,neutral
13,RT akel Next week concerts the artist Elissa in Canada Toronto 29th November at Friday night Ottawa 30th November at S,null,neutral
14,PLQ Inc pr sent depuis 1867 Qu on les l che Ils ont toujours agi en collabos Pour qu on soit pour toujours da,null,neutral
15,RT Trump cut his teeth on the scorched earth approach of Roy Cohn but like all bullies when push comes to shove he does fold,null,neutral
16,I had the opportunity to speak to several police officers I thanked them for protecting the Jewis,null,neutral
17,RT Handsworth Market Soho Road 9th March 1968 University of Birmingham Phyllis Nicklin,null,neutral
18,ASS You are beyond amazing,amazing,positive
19,Huge congrats to Canada s Pospisil and Shapovapov for making history today and advancing Canada to the Fi,null,neutral
20,RT Maharaja Rameshwar Singh of Raj Darbhanga Donated 50 lakhs of rupees for the foundation of the BHU Played leading role,null,neutral
21,Huawei the Chinese telecom giant is a Trojan horse that could restrict Canada s access to the critical Five Eye,null,neutral
22,RT B Fake Indian Lying Warren caught lying about where she sent her kids to school Warren sent her son to an expensive privat,null,neutral
23,RT so roaches can make things done in a group but some university students can t do the same next time imma choose cockroach fo,null,neutral
24,RT Anonymous has conducted a massive hack against the authoritarian Chinese government ta da OpHongKong China https,null,neutral
25,RT 2 Sacks and 2 forced fumbles coming up,up,positive
26,RT Szn 2 Rough ride but we got it done I just want to thank Upper Iowa University for the opportunity they game me to furt,null,neutral
27,RT Portland and Canada next month,null,neutral
28,RT We re everywhere Jackie studentsdemandaction leader at Clark Atlanta University with Nicole Georgia s te,null,neutral
29,RT taylor Why haven t we shut the door to this already,null,neutral
30,RT 05 White adults cannot hear the words Temple University without saying ooo it s a little rough down there don t step foot o,null,neutral
31,RT peryer Hundreds of Yale and Harvard students held up the football game for about a half hour to protest university holdings in,up,positive
32,RT Warren Wolf was also a graduate of Seton Hall University Class of 49 Here s an article I wrote on him for the Seton Hall,null,neutral
33,These are students exercising their right of free speech on university owned property You wa,free,positive
34,RT Titans I am a bona fide and die hard Titan and Tacha s lover Today is my Ph D Convocation I will be conferred with my,hard,negative
35,RT Comunicacao Nesta primeira edi o da Conabe a pesquisadora Linnea Ehri Graduate Center of the City University of New York GC CU,null,neutral
36,Sasha Baron Cohen Facebook would have let Hitler buy anti Semitic ads BBC News,null,neutral
37,RT Millions died and countless others were arrested deported or executed during the Holodomor Today we remember them,null,neutral
38,I need to get out of university for good,good,positive
39,RT If you don t think political support for Trump is crucial for getting tariff relief I have a degree from Trump University,null,neutral
40,RT Scientists disappointed by elimination of federal cabinet post via,null,neutral
41,Everything about the bleeding pus oozing sore that is The Ohio State University is insufferable,null,neutral
42,HK students complain they have been asked by Jinan University GZ to vote 4 pro est candidates in today s DC elect,null,neutral
43,What and now need to do is point out that middle class is a made up meaningless term that,up,positive
44,RT I can t marry a man who is not education person cos I m a graduation of university,not,negative
45,Only thing illustrious about this university IS the women,null,neutral
46,RT We re everywhere Jackie studentsdemandaction leader at Clark Atlanta University with Nicole Georgia s te,null,neutral
47,RT Remember there s a life outside of Hatfield and the university and the course Don t beat yourself down,null,neutral
48,RT Canada votes against Israel for the first time in 14 years and our Ambassador boasts that Canada has regained its voice No,null,neutral
49,Se pa vou brt no canada euve keke,no,negative
50,Rushing the field as a 20 pt favorite is the most embarrassing thing Ohio State University has ever done,null,neutral
51,courts black women at Clark Atlanta University rally,null,neutral
52,RT 7 Trudeau has one Minister of the Middle Class Jason Kenney has many Ministers of Oil Barons 8 According to his web,one,positive
53,RT Millions died and countless others were arrested deported or executed during the Holodomor Today we remember them,null,neutral
54,RT Thought the Sheffield crowd was big last night Another massive crowd is building for Jeremy Corbyn s visit any moment to Lou,null,neutral
55,Last year at ottawa little theater canada jeddah,null,neutral
56,RT If you don t think political support for Trump is crucial for getting tariff relief I have a degree from Trump University,null,neutral
57,RT karume Palamagamba professor kashindwa kuelewa kwamba ka kawaida Mihimili wa Mahakama hauongiliwi na Mihimili Serikali Anamwita,null,neutral
58,Edinburgh University s decision to return a set of skulls to Sri Lanka has been criticised by historians who fear,fear,negative
59,RT We re everywhere Jackie studentsdemandaction leader at Clark Atlanta University with Nicole Georgia s te,null,neutral
60,RT There are several telescopes in Hawaii already America has stolen enough land from Indigenous peoples alread,null,neutral
61,RT Canada votes against Israel for the first time in 14 years and our Ambassador boasts that Canada has regained its voice No,null,neutral
62,RT No media owned by Bell Rogers or CBC would allow data be broadcast that make the,null,neutral
63,RT Your Patriot s take the WIN from the Royals 72 64 The Patriots will begin their conference journey on Dec 19 against Un,null,neutral
64,RT My June12 Heroes are Chief Ralph Obioha head of NADECO in North America USA amp Canada and Dr Lloyd Ukwu the Register,null,neutral
